diary,date,activity,location,people,time_of_day,annotation,classification,rationale
"Feeling overwhelmed today, my research project is challenging but my labmates were very supportive.",3/15/2022,research,laboratory,colleague,afternoon,overwhelmedness,"[""overwhelmedness"",""acceptance""]","The emotion 'overwhelmedness' was chosen because the user mentioned feeling overwhelmed by their research project. The emotion 'acceptance' was chosen as the user mentioned receiving support from their labmates, suggesting a sense of acceptance and support in their environment."
"Felt a wave of relief today, finally made progress in my research with the help of my labmates.",3/16/2022,research,laboratory,colleague,afternoon,"joy,anticipation","[""relief"",""joy""]","The user mentioned feeling a 'wave of relief', which clearly indicates the emotion of relief. They also mentioned that they made progress in their research with the help of their labmates, which implies a sense of joy and satisfaction. Therefore, the strongest emotions detected in the diary are relief and joy."
Felt exhausted yet satisfied after a long day of research. My labmates' support made things bearable.,3/17/2022,research,laboratory,colleague,evening,tiredness,"[""tiredness"",""acceptance""]","The diary entry indicates the user felt 'exhausted' which is synonymous with 'tiredness'. The user also felt 'satisfied' and appreciated the support of labmates, which signifies 'acceptance'. These emotions are both included in the given emotion list."
"Felt drained but accomplished today, I made significant progress on my research project. My labmates' encouragement was invaluable.",3/18/2022,research,laboratory,colleague,evening,"tiredness,joy","[""tiredness"",""joy""]","The user's diary entry indicates that they felt 'drained' which corresponds to the emotion 'tiredness'. However, they also mention feeling 'accomplished' and making 'significant progress' on their research project, which suggests a sense of 'joy'. Their labmates' encouragement being 'invaluable' further supports this positive emotion."
"Felt a sense of accomplishment after a productive meeting with my professor and labmates today, their guidance is truly invaluable.",3/19/2022,meeting,laboratory,colleague,afternoon,joy,"[""joy"",""trust""]","The diary entry conveys a positive tone, indicating a successful meeting with the professor and labmates. The feeling of accomplishment suggests the emotion of 'joy'. The appreciation for the guidance received from the professor and labmates implies the emotion of 'trust'."
Felt overwhelmed but determined today after a challenging meeting with my professor and labmates. Their guidance keeps me going.,3/20/2022,meeting,laboratory,colleague,afternoon,overwhelmedness,"[""overwhelmedness"",""determination""]","The user explicitly stated feeling 'overwhelmed' which aligns with 'overwhelmedness' from the provided list. The user also expresses a sense of 'determination' after the challenging meeting, which is another emotion from the list. Although 'determination' is not explicitly stated, it is inferred from the context where the user mentions that their professor and labmates' guidance keeps them going, indicating a resolve to continue despite challenges."
Felt overwhelmed but relieved when I finally understood a complex concept. My labmates' patience and guidance were crucial.,3/21/2022,studying,laboratory,colleague,afternoon,"overwhelmedness, calm","[""overwhelmedness"",""relief""]",The user mentioned feeling 'overwhelmed' which aligns with the emotion 'overwhelmedness'. The user also expressed feeling 'relieved' when they finally understood a complex concept. Both of these emotions are listed in the provided emotion list.
"Today was a whirlwind of emotions, feeling overwhelmed with my research yet finding solace in my boyfriend's comforting presence at dinner.",3/22/2022,research,laboratory,boyfriend,evening,overwhelmedness,"[""overwhelmedness"",""calm""]","The diary entry describes a strong feeling of being overwhelmed, particularly with regards to the author's research, hence the emotion 'overwhelmedness'. However, it also mentions finding solace in the comforting presence of the boyfriend at dinner, indicating a sense of calmness. Therefore, the emotions 'overwhelmedness' and 'calm' are used to capture the emotional state described in the diary entry."
"Felt exhausted yet fulfilled after a long day of research, finding joy in my cute little breaks on Facebook.",3/23/2022,research,laboratory,alone,evening,tiredness,"[""tiredness"",""joy""]","The diary entry mentions feeling 'exhausted' indicating 'tiredness'. Furthermore, the user also mentions finding 'joy' during their breaks, hence the emotion 'joy' is also present."
Felt a sense of accomplishment today after finalizing my research draft. My labmates' support was invaluable.,3/24/2022,research,laboratory,colleague,afternoon,joy,"[""joy"",""acceptance""]","The emotions identified in the diary entry are 'joy' and 'acceptance'. 'Joy' is inferred from the sense of accomplishment the user felt after finalizing their research draft. The mention of their labmates' invaluable support suggests 'acceptance', as they felt valued and supported by their peers."
I felt a wave of relief and accomplishment after submitting my research project. The support from my labmates was immeasurable.,3/25/2022,research,laboratory,colleague,afternoon,joy,"[""relief"",""accomplishment""]","The user mentioned feeling a 'wave of relief' which indicates the emotion of relief. The word 'accomplishment' was also used after submitting a research project, indicating the feeling of accomplishment. Therefore, the emotions 'relief' and 'accomplishment' were included in the emotions property."
"Feeling drained after a day of intense research, but my boyfriend's presence at dinner uplifted my spirits.",3/26/2022,research,laboratory,boyfriend,evening,"tiredness,joy","[""tiredness"",""joy""]","The user mentioned feeling 'drained' after a day of intense research, which aligns with the emotion 'tiredness'. However, the presence of her boyfriend at dinner 'uplifted' her spirits, indicating the emotion 'joy'. Both emotions 'tiredness' and 'joy' are included in the provided emotions list."
"Felt overwhelmed with research today, but a chat with my roommate and some Facebook time brought comfort.",3/27/2022,research,home,roommate,evening,tiredness,"[""overwhelmedness"",""calm""]","The diary entry starts with the user feeling 'overwhelmedness' due to their research. However, they later experience 'calm' after chatting with their roommate and spending time on Facebook."
